r,f,rho_eff,Kretschmann
14.526062221935838,0.8624062183490127,5.075600233043335e-08,5.076009624970334e-06
15.298399466234553,0.8693403547823468,3.720320512397853e-08,3.723412069359791e-06
16.111801164878685,0.8759267159046377,2.7268520547318184e-08,2.730871274927872e-06
16.968450676787004,0.8821824303925668,1.9986316144964937e-08,2.002678441525889e-06
17.870647448045347,0.888123842258075,1.4648573404505061e-08,1.4685146486481047e-06
18.820813184153447,0.8937665355245716,1.0736198912125111e-08,1.0767343754247998e-06
19.821498350444358,0.8991253604381846,7.868636159309542e-09,7.894186680637525e-07
20.875389018125535,0.9042144606206065,5.766907475774328e-09,5.787343365541796e-07
21.98531407431699,0.9090473006952491,4.226509831989186e-09,4.2425603318864993e-07
23.15425281544107,0.913636694019861,3.0975393255788137e-09,3.1099760327213893e-07
24.38534294434532,0.9179948302407983,2.2701177698592695e-09,2.2796550580502395e-07
25.681888992624938,0.9221333024503575,1.6637077863991264e-09,1.6709626661247625e-07
27.04737119075269,0.9260631337818916,1.2192793785029053e-09,1.224762705680938e-07
28.485454809825004,0.9297948033202269,8.93567333883227e-10,8.97690320224628e-08
30.0,0.9333382712391675,6.548615934213308e-10,6.579487110035776e-08
