I_curvature,phi_lattice_min,E_unwind
1.228643216080402,0.0,0.0
1.236180904522613,0.0,0.0
1.243718592964824,0.0,0.0
1.2512562814070352,0.0,0.0
1.258793969849246,0.0,0.0
1.2663316582914572,0.0,0.0
1.2738693467336684,0.0,0.0
1.2814070351758793,0.0,0.0
1.2889447236180904,0.0,0.0
1.2964824120603013,0.0,0.0
1.3040201005025125,0.0,0.0
1.3115577889447236,0.0,0.0
1.3190954773869346,0.0,0.0
1.3266331658291457,0.0,0.0
1.3341708542713566,0.0,0.0
1.3417085427135678,0.0,0.0
1.349246231155779,0.0,0.0
1.3567839195979898,0.0,0.0
1.364321608040201,0.0,0.0
1.371859296482412,0.0,0.0
1.379396984924623,0.0,0.0
1.3869346733668342,0.0,0.0
1.394472361809045,0.0,0.0
1.4020100502512562,0.0,0.0
1.4095477386934672,0.0,0.0
1.4170854271356783,0.0,0.0
1.4246231155778895,0.0,0.0
1.4321608040201004,0.0,0.0
1.4396984924623115,0.0,0.0
1.4472361809045227,0.0,0.0
1.4547738693467336,0.0,0.0
1.4623115577889447,0.0,0.0
1.4698492462311556,0.0,0.0
1.4773869346733668,0.0,0.0
1.484924623115578,0.0,0.0
1.4924623115577889,0.0,0.0
1.5,0.0,0.0
