y,phi_A,phi_B
-13.49769953990798,-0.9999999897448167,1.535132855831262e-05
-13.39767953590718,-0.9999999881866185,1.6629909359534406e-05
-13.297659531906382,-0.9999999863916639,1.8014981775495225e-05
-13.197639527905581,-0.9999999843239793,1.951541559122847e-05
-13.09761952390478,-0.9999999819421256,2.1140819401324083e-05
-12.99759951990398,-0.999999979198367,2.2901602155533918e-05
-12.89757951590318,-0.9999999760377151,2.4809039832461554e-05
-12.79755951190238,-0.9999999723968257,2.687534766880786e-05
-12.69753950790158,-0.9999999682027305,2.911375840730941e-05
-12.597519503900779,-0.999999963371374,3.153860706515488e-05
-12.497499499899979,-0.9999999578059292,3.4165422766543245e-05
-12.39747949589918,-0.9999999513948569,3.701102822842965e-05
-12.29745949189838,-0.9999999440096702,4.009364753768445e-05
-12.19743948789758,-0.9999999355023599,4.343302291118517e-05
-12.097419483896779,-0.9999999257024277,4.705054118812066e-05
-11.997399479895979,-0.9999999144134695,5.0969370866381516e-05
-11.897379475895178,-0.9999999014092389,5.521461056275376e-05
-11.797359471894378,-0.9999998864291132,5.981344985016349e-05
-11.697339467893578,-0.99999986917287,6.47953435049178e-05
-11.597319463892777,-0.9999998492946706,7.019220028327699e-05
-11.497299459891979,-0.9999998263961284,7.603858744033499e-05
-11.397279455891178,-0.9999998000183251,8.237195230569872e-05
-11.297259451890378,-0.9999997696326134,8.923286234050558e-05
-11.197239447889578,-0.9999997346300218,9.666526521962818e-05
-11.097219443888777,-0.9999996943090506,0.0001047167706122731
-10.997199439887977,-0.9999996478616122,0.00011343895547443797
-10.897179435887177,-0.9999995943568368,0.00012288769481878472
-10.797159431886376,-0.9999995327224156,0.00013312352009241365
-10.697139427885576,-0.9999994617231113,0.00014421200747189315
-10.597119423884775,-0.9999993799360015,0.00015622419857889552
-10.497099419883977,-0.9999992857219623,0.0001692370563302128
-10.397079415883177,-0.9999991771928175,0.00018333395886418333
-10.297059411882376,-0.999999052173498,0.0001986052347331877
-10.197039407881576,-0.9999989081584502,0.0002151487428205325
-10.097019403880775,-0.9999987422614219,0.00023307050073155097
-9.996999399879975,-0.9999985511576188,0.000252485365725081
-9.896979395879175,-0.9999983310170718,0.00027351777259477465
-9.796959391878374,-0.9999980774278803,0.0002963025332822938
-9.696939387877574,-0.9999977853077932,0.00032098570340887436
-9.596919383876775,-0.999997448802356,0.0003477255213507771
-9.496899379875975,-0.9999970611675825,0.00037669342596076795
-9.396879375875175,-0.9999966146347993,0.0004080751595552578
-9.296859371874374,-0.9999961002549568,0.0004420719633486254
-9.196839367873574,-0.9999955077192839,0.00047890187312638
-9.096819363872774,-0.999994825152696,0.0005188011236113917
-8.996799359871975,-0.999994038875813,0.0005620256706969273
-8.896779355871175,-0.9999931331308225,0.0006088528415016077
-8.796759351870374,-0.9999920897656923,0.0006595831230499143
-8.696739347869574,-0.9999908878704071,0.0007145421013033143
-8.596719343868774,-0.9999895033579403,0.0007740825632675079
-8.496699339867973,-0.9999879084815666,0.0008385867759875023
-8.396679335867173,-0.9999860712788453,0.0009084689574211933
-8.296659331866373,-0.9999839549311366,0.0009841779554615672
-8.196639327865572,-0.9999815170258217,0.0010662001527656036
-8.096619323864772,-0.9999787087064498,0.0011550626165530709
-7.9965993198639715,-0.9999754736937924,0.0012513365141697142
-7.896579315863171,-0.9999717471582019,0.001355640816976284
-7.796559311862371,-0.9999674544206972,0.0014686463170373396
-7.6965393078615705,-0.9999625094567729,0.0015910799831517824
-7.59651930386077,-0.9999568131729855,0.0017237296850008599
-7.49649929985997,-0.9999502514218278,0.0018674493165991022
-7.396479295859169,-0.999942692715175,0.0020231643528289866
-7.296459291858373,-0.9999339855905679,0.0021918778756303764
-7.196439287857572,-0.9999239555776673,0.00237467710940889
-7.096419283856772,-0.999912401704245,0.0025727405084298625
-6.9963992798559715,-0.9998990924718952,0.0027873454423806886
-6.896379275855171,-0.9998837612210947,0.0030198765299150536
-6.796359271854371,-0.9998661007930919,0.0032718346738348013
-6.6963392678535705,-0.9998457573821349,0.0035448468556103984
-6.59631926385277,-0.9998223234554806,0.0038406767511733756
-6.49629925985197,-0.9997953296001605,0.004161236234309217
-6.396279255851169,-0.9997642351342494,0.004508597838500936
-6.296259251850369,-0.999728417296001,0.004885008252671871
-6.196239247849569,-0.9996871587962092,0.0052929029308835425
-6.096219243848768,-0.9996396334870111,0.0057349219005716585
-5.996199239847968,-0.9995848898634787,0.006213926858235091
-5.896179235847168,-0.9995218320720695,0.006733019645482035
-5.796159231846367,-0.9994491980515886,0.0072955622017990005
-5.696139227845567,-0.9993655343768849,0.007905198093110775
-5.596119223844767,-0.999269167312136,0.00856587571685716
-5.496099219843966,-0.9991581695082054,0.009281873284575352
-5.396079215843169,-0.9990303216960149,0.010057825681419389
-5.296059211842369,-0.9988830686339072,0.01089875329815624
-5.196039207841569,-0.99871346846017,0.011810092924336664
-5.096019203840768,-0.9985181344808084,0.012797730780814386
-4.995999199839968,-0.9982931682857096,0.013868037754714794
-4.895979195839168,-0.9980340829319746,0.015027906879318365
-4.795959191838367,-0.9977357147598314,0.01628479307394452
-4.695939187837567,-0.9973921222127191,0.01764675512343561
-4.595919183836767,-0.9969964698176446,0.01912249983169248
-4.495899179835966,-0.9965408952439118,0.020721428227141757
-4.395879175835166,-0.9960163570976652,0.02245368362805334
-4.2958591718343655,-0.9954124608271575,0.02433020129010926
-4.195839167833565,-0.9947172598115184,0.026362759255202373
-4.095819163832765,-0.9939170283883227,0.02856402989663013
-3.9957991598319644,-0.9929960032495772,0.03094763150907499
-3.895779155831164,-0.9919360893128558,0.03352817911948061
-3.7957591518303637,-0.9907165258705056,0.03632133349474396
-3.6957391478295634,-0.9893135085583727,0.039343847091990035
-3.595719143828763,-0.9876997624989065,0.04261360543561014
-3.495699139827966,-0.9858440619063051,0.046149662111669314
-3.395679135827166,-0.9837106915535796,0.04997226524548575
-3.2956591318263655,-0.9812588458725908,0.054102872974734685
-3.195639127825565,-0.9784419621922427,0.05856415505333143
-3.095619123824765,-0.9752069858509369,0.06337997732871628
-2.9955991198239644,-0.9714935668166579,0.0685753654390025
-2.895579115823164,-0.9672331902225667,0.07417644369349566
-2.7955591118223637,-0.96234824713464,0.08021034475264682
-2.6955391078215634,-0.9567510572155878,0.08670508544020158
-2.595519103820763,-0.9503428620859705,0.09368940383670103
-2.4954990998199627,-0.9430128174927348,0.10119255276228793
-2.3954790958191623,-0.934637024269854,0.10924404490754704
-2.295459091818362,-0.9250776528721276,0.11787334526926363
-2.1954390878175616,-0.914182234229579,0.12710950725266565
-2.0954190838167612,-0.9017832108352312,0.13698074987245798
-1.9953990798159609,-0.8876978659957583,0.14751397497682678
-1.8953790758151605,-0.8717287751078788,0.1587342253756471
-1.7953590718143602,-0.8536649488889869,0.17066408720126452
-1.6953390678135634,-0.8332838617566414,0.1833230427636592
-1.595319063812763,-0.8103545746482029,0.19672678353880105
-1.4952990598119626,-0.7846421644870555,0.21088649665781128
-1.3952790558111623,-0.755913654591811,0.22580814219608908
-1.295259051810362,-0.7239455927186386,0.24149174248464456
-1.1952390478095616,-0.6885333370351542,0.25793070830803644
-1.0952190438087612,-0.6495019776521201,0.2751112298894588
-0.9951990398079609,-0.6067186391860443,0.2930117626339088
-0.8951790358071605,-0.560105682709981,0.3116026383388031
-0.7951590318063602,-0.5096540691806009,0.3308458316528244
-0.6951390278055598,-0.45543589073318735,0.35069490870863834
-0.5951190238047595,-0.3976148648836496,0.37109517993605984
-0.4950990198039591,-0.3364534734532808,0.3919840721062402
-0.39507901580315874,-0.2723154674852783,0.4132917258860357
-0.2950590118023584,-0.2056626928438779,0.43494181502174495
-0.19503900780155803,-0.13704563056053037,0.4568525723401903
-0.09501900380075767,-0.06708766089795823,0.47893799681796745
0.005001000200042682,0.0035362264140055455,0.501109205871141
0.10502100420084304,0.07412485538643997,0.5232758885940904
0.20504100820163984,0.14397844576474383,0.5453478096606375
0.3050610122024402,0.21242607893267082,0.5672363105341001
0.40508101620324055,0.27885078917542483,0.5888557547965819
0.5051010202040409,0.3427103511712316,0.61012486778655
0.6051210242048413,0.4035524087404582,0.6309679270182623
0.7051410282056416,0.4610232951350958,0.6513157684831035
0.805161032206442,0.5148706034399652,0.6711065841538122
0.9051810362072423,0.5649401657299166,0.6902864969864781
1.0052010402080427,0.6111685190037582,0.7088099106017246
