r,psi
40.25,0.00010124450314669108
40.33,9.935147936178036e-05
40.41,9.749383757883737e-05
40.49,9.567091623664903e-05
40.57,9.38820661389782e-05
40.65,9.212665022336702e-05
40.73,9.04040433342585e-05
40.81,8.871363200036201e-05
40.89,8.705481421617575e-05
40.97,8.542699922759664e-05
41.05,8.382960732153433e-05
41.129999999999995,8.226206961945868e-05
41.21,8.07238278748047e-05
41.29,7.921433427416482e-05
41.37,7.773305124219545e-05
41.449999999999996,7.627945125017196e-05
41.53,7.485301662811994e-05
41.61,7.3453239380457e-05
41.69,7.207962100508126e-05
41.769999999999996,7.073167231583846e-05
41.85,6.940891326830997e-05
41.93,6.811087278885452e-05
42.01,6.68370886068441e-05
42.089999999999996,6.558710709003571e-05
42.17,6.43604830830198e-05
42.25,6.315677974868723e-05
42.33,6.197556841265865e-05
42.41,6.081642841062111e-05
42.49,5.9678946938516735e-05
42.57,5.856271890553116e-05
42.65,5.7467346789828696e-05
42.73,5.63924404969831e-05
42.81,5.5337617221053126e-05
42.89,5.430250130825442e-05
42.97,5.328672412317758e-05
43.05,5.2289923917506405e-05
43.129999999999995,5.131174570118871e-05
43.21,5.0351841116014e-05
43.29,4.940986831155246e-05
43.37,4.8485491823411954e-05
43.449999999999996,4.7578382453769586e-05
43.53,4.668821715413416e-05
43.61,4.581467891029958e-05
43.69,4.4957456629446017e-05
43.769999999999996,4.411624502935086e-05
43.85,4.329074452966885e-05
43.93,4.2480661145242516e-05
44.01,4.1685706381405495e-05
44.089999999999996,4.090559713124077e-05
44.17,4.0140055574758125e-05
44.25,3.938880907995409e-05
44.33,3.8651590105719036e-05
44.41,3.792813610655918e-05
44.49,3.7218189439095665e-05
44.57,3.652149727031057e-05
44.65,3.583781148750493e-05
44.73,3.516688860993888e-05
44.81,3.450848970212066e-05
44.89,3.3862380288715064e-05
44.97,3.3228330271039434e-05
45.05,3.260611384511878e-05
45.129999999999995,3.199550942127031e-05
45.21,3.139629954518871e-05
45.29,3.0808270820504145e-05
45.37,3.0231213832785967e-05
45.449999999999996,2.966492307496373e-05
45.53,2.910919687413996e-05
45.61,2.8563837319768623e-05
45.69,2.80286501931733e-05
45.769999999999996,2.750344489838016e-05
45.85,2.6988034394241032e-05
45.93,2.6482235127822477e-05
46.01,2.5985866969037274e-05
46.089999999999996,2.549875314649475e-05
46.17,2.5020720184547328e-05
46.25,2.455159784151064e-05
46.33,2.4091219049035323e-05
46.41,2.3639419852608997e-05
46.49,2.3196039353167473e-05
46.57,2.2760919649793695e-05
46.65,2.2333905783484524e-05
46.73,2.1914845681965256e-05
46.81,2.150359010553232e-05
46.89,2.10999925939044e-05
46.97,2.0703909414063784e-05
47.05,2.0315199509068576e-05
47.129999999999995,1.9933724447818344e-05
47.21,1.9559348375754328e-05
47.29,1.919193796647777e-05
47.37,1.8831362374269026e-05
47.449999999999996,1.8477493187489043e-05
47.53,1.813020438284809e-05
47.61,1.778937228052532e-05
